id,rating_author,rating_date,tweet_id,tweet_author,is_spam,topic,shares_author,rhetoric,uses_method,uses_data,uses_conclusions
183,LizNeeley,12/20/11,130131985925541889,mr_ganocoffee,,,false,agreesWith,false,false,false
184,LizNeeley,12/20/11,130003649417060355,moyamoyagarden,,,false,discusses,false,false,true
185,LizNeeley,12/20/11,129550826149642240,PatchRox,,,false,discusses,false,false,true
186,LizNeeley,12/20/11,129523190153232385,robbouk9,,,false,discusses,false,false,true
187,LizNeeley,12/20/11,128946445935050752,LaraPizzorno,,,false,discusses,false,false,true
188,LizNeeley,12/20/11,123760299621879809,dirtyedgemed,,,false,discusses,false,false,true
189,LizNeeley,12/20/11,124626083776700416,shhh530,,,false,discusses,false,false,false
190,LizNeeley,12/20/11,126789502437036032,CharlieBio,,,false,discusses,false,false,true
191,mfenner,01/05/12,121656652167524352,favilar,false,Medicine &amp; Health,false,discusses,false,false,true
192,mfenner,01/05/12,126951644071071744,christianmunthe,false,Earth Sciences,false,discusses,false,false,true
193,mfenner,01/05/12,129252594806824963,GenomicsIo,false,Medicine &amp; Health,false,discusses,false,false,false
194,mfenner,01/05/12,121242030138597377,thejns,false,Medicine &amp; Health,true,discusses,false,false,false
195,mfenner,12/20/11,124488164407648256,carinap,,,false,discusses,false,false,true
196,mfenner,01/05/12,129296820722614273,AlysonHypnotik1,false,Physics &amp; Astronomy,false,discusses,false,false,true
197,mfenner,12/20/11,125690332594704385,shugod,,,false,discusses,false,false,false
198,mfenner,01/05/12,124159013398130689,mcseto,false,Other,false,discusses,false,false,true
199,mfenner,01/05/12,126221698671452160,renelaennec,false,Other,false,discusses,false,false,false
200,mfenner,01/05/12,129195649391525888,thepcrcompany,false,Life Sciences,false,discusses,false,false,false
201,mfenner,12/20/11,121920754173489152,emeraldent,,,false,discusses,true,false,false
202,mfenner,12/20/11,130740017218854912,Chris_Evelo,,,false,discusses,false,false,false
203,mfenner,01/05/12,130280886066356225,hmpharmacon,false,Medicine &amp; Health,false,discusses,true,false,false
204,mfenner,01/05/12,126804048727912448,healthpolicygrp,false,Medicine &amp; Health,false,discusses,false,false,false
205,mfenner,12/21/11,125280404541419521,tomheston,,,false,discusses,true,false,false
206,mfenner,01/05/12,127106854949105666,_lailak_,false,Life Sciences,false,discusses,false,false,true
207,science3point0,12/21/11,127065806696751104,tiscar,,,false,discusses,false,false,false
208,science3point0,12/21/11,127030578250915840,David_S_Bristol,,,false,agreesWith,false,false,false
209,science3point0,12/21/11,126673388201721857,m_m_campbell,,,false,discusses,false,false,true
210,carusb,12/21/11,120095393110437888,langermarkus,,,false,discusses,false,false,false
211,carusb,12/21/11,120090626221019136,stti,,,true,discusses,false,false,false
212,carusb,12/21/11,119932215000969217,abidanfranco,,,false,agreesWith,false,false,false
213,carusb,12/21/11,120943709457096704,jennifernuzzo,,,false,discusses,false,false,true
214,carusb,12/21/11,120853137270644736,scitechcurator,,,false,discusses,false,false,false
215,carusb,12/21/11,120661741247008768,slade37,,,false,discusses,false,false,true
216,carusb,12/21/11,120620031464849408,dreddvm,,,false,discusses,false,false,false
217,carusb,12/21/11,121560437543272448,lucozadeinsider,,,false,discusses,false,true,false
218,carusb,12/21/11,121526759589023745,anxietynews,,,false,discusses,false,false,false
219,carusb,12/21/11,121496102708060160,theatavism,,,false,discusses,false,false,false
220,carusb,12/21/11,121341877550186496,fiainros,,,false,discusses,false,false,false
221,rmounce,12/21/11,120063177026322432,womenwhowine,,,false,discusses,false,false,false
222,rmounce,12/21/11,119932718426492928,theplantjournal,,,true,discusses,false,false,false
223,rmounce,12/21/11,120067699261964288,openpgx,,,false,discusses,false,false,false
224,carusb,12/21/11,121253443611525120,maryheston,,,false,discusses,false,false,false
225,rmounce,12/21/11,121887543791857664,rafaelmorales53,,,false,discusses,false,false,true
226,carusb,12/21/11,122059189504835584,pamj84,,,false,discusses,false,false,false
227,rmounce,12/21/11,121811259107717120,brunovdc,,,false,discusses,false,false,false
228,rmounce,12/21/11,121718359418077184,ianrobinson,,,false,discusses,false,false,false
229,carusb,12/21/11,121978665738321920,pattrepanier,,,true,agreesWith,false,false,true
230,carusb,12/21/11,121963944217808897,miloumenard,,,false,discusses,false,false,false
231,rmounce,12/21/11,121715602267189248,principevlad201,,,false,discusses,false,false,true
232,rmounce,12/21/11,121695040069316608,sounds_science,,,false,discusses,false,false,true
233,carusb,12/21/11,121927974567149569,chadthomasmp,,,true,discusses,false,false,false
234,rmounce,12/21/11,121670365436067841,rogerdjones1,,,false,discusses,false,false,true
235,rmounce,12/21/11,121663877099429888,global_network,,,false,discusses,false,false,false
236,rmounce,12/21/11,121622639843344385,jintyg51,,,false,discusses,false,false,false
237,rmounce,12/21/11,121565784928555008,bachinsky,,,false,discusses,false,false,true
238,rmounce,12/21/11,122002275077079040,chris_p_silva,,,false,discusses,false,false,false
239,carusb,12/21/11,121565784928555008,bachinsky,,,false,discusses,false,false,true
240,rmounce,12/21/11,123454824619585537,leylandp,,,false,discusses,false,false,false
241,rmounce,12/21/11,123447589747163136,azizdash,,,false,agreesWith,false,false,false
242,carusb,12/21/11,122432982110846976,dperezalvarez,,,true,discusses,false,false,false
243,rmounce,12/21/11,123434539711344640,AJCOonline,,,true,discusses,false,false,false
244,rmounce,12/21/11,123425641247944705,n_nayani,,,false,discusses,false,false,false
245,rmounce,12/21/11,123413221204951040,aidsandbehavior,,,true,discusses,false,false,false
246,carusb,12/21/11,122430020038828032,hslowerbackpain,,,false,discusses,false,false,true
247,rmounce,12/21/11,123398414644944896,ozgunemrecan,,,false,discusses,false,false,false
248,rmounce,12/21/11,123371028847144960,riktacken,,,false,discusses,true,false,false
249,rmounce,12/21/11,123359874137600000,age_and_ageing,,,true,discusses,false,false,false
250,rmounce,12/21/11,123351081983033344,biochemnews,,,false,discusses,true,false,true
251,carusb,12/21/11,122330751348908032,thomasichim,,,false,agreesWith,false,false,true
252,rmounce,12/21/11,123327805781049344,plants_pcu_uct,,,false,discusses,false,false,false
253,rmounce,12/21/11,123317145999376384,andrewichert,,,false,discusses,false,false,true
254,rmounce,12/21/11,123314681032081408,fetopen,,,false,discusses,false,false,false
255,rmounce,12/21/11,123228808714264576,JDBP_online,,,true,discusses,false,false,false
256,rmounce,12/21/11,123194548116652034,cardiologiaf,,,false,discusses,false,false,false
257,rmounce,12/21/11,123106848801959937,cellbiologynews,,,false,discusses,false,false,true
258,rmounce,12/21/11,123050740833992704,srisatish,,,false,disagreesWith,true,false,false
259,rmounce,12/21/11,123040246341439488,julietalionetti,,,false,discusses,false,true,true
260,rmounce,12/21/11,121023183221559297,megasimplediet,,,false,discusses,false,false,false
261,rmounce,12/21/11,120984963632992256,jcammm,,,false,discusses,false,false,false
262,rmounce,12/21/11,120971409714458624,eathealthyinfo,,,false,discusses,false,false,false
263,rmounce,12/21/11,120886855347613697,antibody_news,,,false,discusses,false,false,false
264,rmounce,12/21/11,120609621542043648,corbinsheart,,,false,discusses,false,false,false
265,rmounce,12/21/11,120339595798921216,usmleschool,,,false,discusses,false,false,false
266,rmounce,12/21/11,120208801881260032,maryheston,,,false,discusses,false,false,true
267,rmounce,12/21/11,124280223570214912,wileyenergy,,,true,discusses,false,false,false
268,rmounce,12/21/11,124276856915640321,IRAupdates,,,false,discusses,false,false,false
269,rmounce,12/21/11,124273217379635200,why_we_do_that,,,false,discusses,false,false,false
270,rmounce,12/21/11,124241975120625664,elsevierbiofuel,,,true,discusses,false,false,false
271,rmounce,12/21/11,124226467860193281,diabeter,,,false,discusses,false,false,false
272,rmounce,12/21/11,124208730228277248,hope_sports,,,false,discusses,false,false,false
273,rmounce,12/21/11,124197070201569280,qivana_health,,,false,discusses,false,false,true
274,rmounce,12/21/11,124184132589850624,jaschahoffman,,,true,discusses,false,false,false
275,rmounce,12/21/11,124162785788694528,kookyideas,,,false,discusses,false,false,true
276,rmounce,12/21/11,124161116657041408,cathyndavidson,,,false,discusses,false,false,true
277,rmounce,12/21/11,124158413277114368,brembs,,,false,discusses,false,false,false
278,rmounce,12/21/11,124146206556438528,4Hypertension,,,false,discusses,false,false,false
279,rmounce,12/21/11,124145915375267840,licorbio,,,false,discusses,true,false,false
280,rmounce,12/21/11,124186484856201216,dgauche,,,false,discusses,false,false,true
281,mfenner,12/21/11,123220535428653057,ditahov,true,,false,discusses,false,false,false
282,mfenner,12/21/11,126084050401230849,cruisinwithted,true,,false,discusses,false,false,false
283,mfenner,01/05/12,123740509813481472,nkyhorseman,false,Social Sciences &amp; Economics,false,discusses,false,true,false
284,mfenner,12/21/11,123549070299111425,billestes10,false,,false,agreesWith,false,false,true
285,mfenner,01/05/12,124684312246362112,pbaleixo,false,Medicine &amp; Health,false,discusses,false,false,true
286,mfenner,12/21/11,121220257145815040,orthopaedia,false,,false,discusses,false,true,false
287,mfenner,01/05/12,124898297595957248,hmsilverman,false,Medicine &amp; Health,false,discusses,false,false,false
288,mfenner,01/05/12,129554936714366976,isaiahhankel,false,Medicine &amp; Health,false,discusses,false,false,true
289,carusb,12/21/11,122612254867861504,couragebuilder,false,,false,discusses,false,false,false
290,carusb,12/21/11,124066779784937474,naturegeosci,false,,true,discusses,false,false,true
291,carusb,12/21/11,125813320950366208,PregnancyIssues,false,,false,discusses,false,false,false
292,carusb,12/21/11,128959805766373376,BlackPhysicists,false,,false,discusses,false,false,false
293,carusb,12/21/11,126440773599240193,BFMedicine,false,,false,discusses,false,false,true
294,carusb,12/21/11,126720567280803840,tomlecabron,false,,false,agreesWith,false,false,true
295,carusb,12/21/11,129460998838030337,angeclow,false,,false,discusses,false,false,true
296,carusb,12/21/11,127710383954862080,Senology,false,,false,discusses,false,false,true
297,Stew,12/21/11,128824263124856832,K_Sugimoto_Lab,false,,false,discusses,false,false,false
298,Stew,12/21/11,128303239694254081,action_designer,false,,false,discusses,false,false,false
299,Stew,12/21/11,123813139132325888,angew_chem,false,,false,discusses,false,false,false
300,Stew,12/21/11,122293601135886337,carnetherborist,false,,false,discusses,false,false,false
301,Stew,12/21/11,124514973597708288,api_health,false,,false,discusses,false,false,false
302,Stew,12/21/11,125036777525346304,kanzaki_sumire,false,,false,discusses,false,false,false
303,mfenner,01/05/12,123454824619585537,leylandp,false,Earth Sciences,false,discusses,false,false,false
304,mfenner,12/21/11,128824263124856832,K_Sugimoto_Lab,false,,false,discusses,false,false,false
305,mfenner,12/21/11,127710383954862080,Senology,false,,false,discusses,false,false,true
306,mfenner,12/21/11,122612254867861504,couragebuilder,false,,false,discusses,false,false,false
307,Stew,12/21/11,121656652167524352,favilar,false,,false,discusses,false,false,false
308,mfenner,01/05/12,121927974567149569,chadthomasmp,false,Life Sciences,false,discusses,false,false,true
309,Stew,12/21/11,127710383954862080,Senology,false,,false,discusses,false,false,true
310,mfenner,01/05/12,124276856915640321,IRAupdates,false,Medicine &amp; Health,false,discusses,false,false,false
311,Stew,12/21/11,125956218547216385,minabird,false,,false,discusses,false,false,true
312,mfenner,12/21/11,129953004295163904,yeacollective,false,,false,discusses,false,false,false
313,mem_somerville,12/21/11,128884629934571521,ArmaVirumque,false,,false,discusses,false,false,false
314,mem_somerville,12/21/11,122952403636068352,transcurve,false,,false,discusses,false,false,false
315,mem_somerville,12/21/11,126923429575262208,NewMicrobiology,false,,false,discusses,false,false,false
316,mem_somerville,12/21/11,128946445935050752,LaraPizzorno,false,,false,discusses,false,false,false
317,mem_somerville,12/21/11,126643038972936192,edyong209,false,,false,discusses,false,false,false
318,mfenner,01/05/12,126012130481799169,CardiologiaF,false,Chemistry &amp; Materials Science,false,discusses,false,false,true
319,mfenner,01/05/12,127174534527844353,RtestR,false,Computer Science &amp; Math,false,discusses,true,false,false
320,carusb,12/21/11,127013205250801665,spaceman60,false,,true,discusses,false,false,false
321,carusb,12/21/11,123760299621879809,dirtyedgemed,false,,true,discusses,false,true,true
322,carusb,12/21/11,127406943424880640,genentechnews,false,,true,discusses,false,false,false
323,mfenner,01/05/12,127250322304413696,Travel_Health,false,Medicine &amp; Health,false,discusses,false,false,false
324,mfenner,01/05/12,124468909326864385,swsd2012,false,Medicine &amp; Health,false,discusses,false,false,false
325,mfenner,01/05/12,127413687601475584,amyleerobinson,false,Computer Science &amp; Math,false,discusses,true,false,false
326,mfenner,01/05/12,128423070762405889,mjpallen,false,Medicine &amp; Health,false,discusses,false,true,false
327,mfenner,01/05/12,126923429575262208,NewMicrobiology,false,Medicine &amp; Health,false,discusses,false,false,false
328,mfenner,12/21/11,122952403636068352,transcurve,false,,false,discusses,false,false,false
329,mfenner,12/22/11,127682645583863808,esmilodonte,false,,false,discusses,false,false,false
330,mfenner,01/05/12,126323646754062336,GreeneScientist,false,Life Sciences,false,discusses,true,false,false
331,mfenner,01/04/12,127343650698047488,PedCareonline,false,,true,discusses,false,false,false
332,mfenner,01/05/12,124226467860193281,diabeter,false,Medicine &amp; Health,false,discusses,false,false,false
333,mfenner,01/05/12,121232354567131136,tweetingautism,false,Medicine &amp; Health,false,discusses,true,false,false
334,mfenner,01/05/12,124471384259821568,hopeforremy,false,Earth Sciences,false,discusses,false,false,false
335,mfenner,01/05/12,125552119343349760,Ecoagri_India,false,Earth Sciences,false,discusses,false,false,true
336,mfenner,01/05/12,126563812232011776,renelaennec,false,Chemistry &amp; Materials Science,false,discusses,false,false,false
337,mfenner,01/05/12,124426906383822848,thepcrcompany,false,Life Sciences,false,discusses,false,false,true
338,mfenner,01/05/12,124859883358130179,EdwardWinstead,false,Life Sciences,false,discusses,false,false,false
339,mfenner,12/22/11,124655168674463745,droncoped,false,,false,discusses,false,false,true
340,mfenner,01/05/12,126971358608494592,naborala,false,Other,false,discusses,false,false,false
341,mfenner,12/22/11,124657003263049728,heptwit,false,,false,discusses,false,false,false
342,mfenner,01/05/12,127250885893029889,_skyl,false,Medicine &amp; Health,false,agreesWith,false,false,true
343,mfenner,01/05/12,124186484856201216,dgauche,false,Medicine &amp; Health,false,discusses,false,false,true
344,mfenner,01/05/12,123434539711344640,AJCOonline,false,Medicine &amp; Health,true,discusses,true,false,false
345,mfenner,01/05/12,123753064757858304,surgerator,false,Chemistry &amp; Materials Science,false,disagreesWith,true,false,false
346,sebschmoller,12/23/11,128475359002894337,EmeraldMkting,false,,false,discusses,false,false,false
347,sebschmoller,12/23/11,129960766676795392,Gastropractice,false,,false,discusses,false,false,false
348,matteomoci,12/26/11,124790512774422528,arawa5,false,,false,agreesWith,false,false,false
349,matteomoci,12/26/11,126012191173386240,CardiologiaF,false,,false,discusses,false,false,false
350,mfenner,01/05/12,129550826149642240,PatchRox,false,Medicine &amp; Health,false,discusses,false,false,true
351,mfenner,01/05/12,119932718426492928,theplantjournal,false,Life Sciences,true,discusses,true,false,false
352,mfenner,12/26/11,128658352627650560,sarasteinmd,false,,false,discusses,false,false,true
353,mfenner,12/26/11,126346307655835648,gastromom,false,,false,discusses,false,false,true
354,mfenner,01/05/12,126144363154780161,UNMCogNeuro,false,Medicine &amp; Health,false,agreesWith,false,false,true
355,Nil_Wilson,12/27/11,128697327723626496,Hlth_Literacy,false,,false,discusses,false,false,false
356,Nil_Wilson,12/27/11,127293974187741184,CVgeneeskunde,false,,false,discusses,false,false,false
357,Nil_Wilson,12/27/11,124273217379635200,why_we_do_that,false,,false,discusses,false,false,false
358,Nil_Wilson,12/27/11,128375817939058688,seanhodges1,false,,false,discusses,false,false,false
359,Nil_Wilson,12/27/11,124139803892658176,peter_tennant,false,,false,discusses,false,false,false
360,Nil_Wilson,12/27/11,130772710832869378,nanoluis_bastos,false,,false,discusses,false,false,false
361,Nil_Wilson,12/27/11,127289340568141824,XMRV_GA,false,,false,agreesWith,false,false,false
362,Nil_Wilson,12/27/11,129156661490360320,NeurologieNoord,false,,false,discusses,false,false,false
363,Nil_Wilson,01/12/12,128836549923176448,FinolaK,false,,false,discusses,false,false,false
364,Nil_Wilson,12/27/11,128117249151221760,Parasite_Host,false,,false,discusses,false,false,false
365,Nil_Wilson,01/07/12,128487531892318208,zuluagajorge,false,,false,discusses,false,false,false
366,Nil_Wilson,12/27/11,124618353766694912,croakeyblog,false,,false,discusses,false,false,false
367,Nil_Wilson,12/27/11,129263936297107457,Orthopaedia,false,,false,discusses,false,false,false
368,Nil_Wilson,12/27/11,125904768815214592,markjonesPT,false,,false,discusses,false,false,false
369,Nil_Wilson,01/07/12,126242520337367040,usmolecular,false,Medicine &amp; Health,false,discusses,false,false,false
370,Nil_Wilson,12/27/11,129567155036491777,ThomasHensel,false,,false,discusses,false,false,false
371,Nil_Wilson,12/27/11,123034950248312832,usmolecular,false,,false,discusses,false,false,false
